,date,median_income,rate_of_inflation,population,growth,growth_rate,unemployment_rate,fed_funds
0,2017-01-01,54667.0,2.3,289309.0,694.0,0.0024,5.2,0.65
1,2017-02-01,54667.0,2.2,289309.0,694.0,0.0024,5.0,0.66
2,2017-03-01,54667.0,2.0,289309.0,694.0,0.0024,4.6,0.79
3,2017-04-01,54667.0,1.9,289309.0,694.0,0.0024,4.3,0.9
4,2017-05-01,54667.0,1.7,289309.0,694.0,0.0024,4.4,0.91
5,2017-06-01,54667.0,1.7,289309.0,694.0,0.0024,4.7,1.04
6,2017-07-01,54667.0,1.7,289309.0,694.0,0.0024,4.6,1.15
7,2017-08-01,54667.0,1.7,289309.0,694.0,0.0024,4.7,1.16
8,2017-09-01,54667.0,1.7,289309.0,694.0,0.0024,4.2,1.15
9,2017-10-01,54667.0,1.8,289309.0,694.0,0.0024,4.1,1.15
10,2017-11-01,54667.0,1.7,289309.0,694.0,0.0024,3.9,1.16
11,2017-12-01,54667.0,1.8,289309.0,694.0,0.0024,3.9,1.3
12,2018-01-01,54165.0,1.8,289166.0,-143.0,-0.0005,4.2,1.41
13,2018-02-01,54165.0,1.8,289166.0,-143.0,-0.0005,4.0,1.42
14,2018-03-01,54165.0,2.1,289166.0,-143.0,-0.0005,3.7,1.51
15,2018-04-01,54165.0,2.1,289166.0,-143.0,-0.0005,3.5,1.69
16,2018-05-01,54165.0,2.2,289166.0,-143.0,-0.0005,3.4,1.7
17,2018-06-01,54165.0,2.3,289166.0,-143.0,-0.0005,4.1,1.82
18,2018-07-01,54165.0,2.4,289166.0,-143.0,-0.0005,3.9,1.91
19,2018-08-01,54165.0,2.2,289166.0,-143.0,-0.0005,3.9,1.91
20,2018-09-01,54165.0,2.2,289166.0,-143.0,-0.0005,3.4,1.95
21,2018-10-01,54165.0,2.1,289166.0,-143.0,-0.0005,3.6,2.19
22,2018-11-01,54165.0,2.2,289166.0,-143.0,-0.0005,3.3,2.2
23,2018-12-01,54165.0,2.2,289166.0,-143.0,-0.0005,3.6,2.27
24,2019-01-01,57122.0,2.2,289430.0,264.0,0.0009,4.0,2.4
25,2019-02-01,57122.0,2.1,289430.0,264.0,0.0009,3.6,2.4
26,2019-03-01,57122.0,2.0,289430.0,264.0,0.0009,3.4,2.41
27,2019-04-01,57122.0,2.1,289430.0,264.0,0.0009,3.0,2.42
28,2019-05-01,57122.0,2.0,289430.0,264.0,0.0009,3.2,2.39
29,2019-06-01,57122.0,2.1,289430.0,264.0,0.0009,3.6,2.38
30,2019-07-01,57122.0,2.2,289430.0,264.0,0.0009,3.6,2.4
31,2019-08-01,57122.0,2.4,289430.0,264.0,0.0009,3.7,2.13
32,2019-09-01,57122.0,2.4,289430.0,264.0,0.0009,3.0,2.04
33,2019-10-01,57122.0,2.3,289430.0,264.0,0.0009,3.0,1.83
34,2019-11-01,57122.0,2.3,289430.0,264.0,0.0009,2.7,1.55
35,2019-12-01,57122.0,2.3,289430.0,264.0,0.0009,2.8,1.55
36,2020-01-01,56357.0,2.3,289694.0,264.0,0.0009,3.4,1.55
37,2020-02-01,56357.0,2.4,289694.0,264.0,0.0009,3.4,1.58
38,2020-03-01,56357.0,2.1,289694.0,264.0,0.0009,4.6,0.65
39,2020-04-01,56357.0,1.4,289694.0,264.0,0.0009,16.4,0.05
40,2020-05-01,56357.0,1.2,289694.0,264.0,0.0009,11.7,0.05
41,2020-06-01,56357.0,1.2,289694.0,264.0,0.0009,9.4,0.08
42,2020-07-01,56357.0,1.6,289694.0,264.0,0.0009,9.3,0.09
43,2020-08-01,56357.0,1.7,289694.0,264.0,0.0009,7.2,0.1
44,2020-09-01,56357.0,1.7,289694.0,264.0,0.0009,7.4,0.09
45,2020-10-01,56357.0,1.6,289694.0,264.0,0.0009,5.2,0.09
46,2020-11-01,56357.0,1.6,289694.0,264.0,0.0009,6.2,0.09
47,2020-12-01,56357.0,1.6,289694.0,264.0,0.0009,6.1,0.09
48,2021-01-01,55512.0,1.4,289958.0,264.0,0.0009,5.6,0.09
49,2021-02-01,55512.0,1.3,289958.0,264.0,0.0009,5.0,0.08
50,2021-03-01,55512.0,1.6,289958.0,264.0,0.0009,4.4,0.07
51,2021-04-01,55512.0,3.0,289958.0,264.0,0.0009,4.7,0.07
52,2021-05-01,55512.0,3.8,289958.0,264.0,0.0009,4.5,0.06
53,2021-06-01,55512.0,4.5,289958.0,264.0,0.0009,5.1,0.08
54,2021-07-01,55512.0,4.3,289958.0,264.0,0.0009,4.4,0.1
55,2021-08-01,55512.0,4.0,289958.0,264.0,0.0009,4.2,0.09
56,2021-09-01,55512.0,4.0,289958.0,264.0,0.0009,3.6,0.08
57,2021-10-01,55512.0,4.6,289958.0,264.0,0.0009,3.5,0.08
58,2021-11-01,55512.0,4.9,289958.0,264.0,0.0009,3.1,0.08
59,2021-12-01,55512.0,5.5,289958.0,264.0,0.0009,3.0,0.08
60,2022-01-01,55512.0,6.0,290222.0,264.0,0.0009,3.5,0.08
61,2022-02-01,55512.0,6.4,290222.0,264.0,0.0009,3.4,0.08
62,2022-03-01,55512.0,6.5,290222.0,264.0,0.0009,3.4,0.2
63,2022-04-01,55512.0,6.2,290222.0,264.0,0.0009,2.6,0.33
64,2022-05-01,55512.0,6.0,290222.0,264.0,0.0009,2.6,0.77
