Metric:,Average Price Per Square Foot
Time Calculation:,Monthly
Data from:,6/28/2022
Segments:,Chatham County

Filters
Chatham County:,"Residential"


Date,"Chatham County",
January 2017,118,
February 2017,122,
March 2017,120,
April 2017,123,
May 2017,124,
June 2017,130,
July 2017,119,
August 2017,124,
September 2017,121,
October 2017,119,
November 2017,120,
December 2017,122,
January 2018,125,
February 2018,125,
March 2018,137,
April 2018,131,
May 2018,132,
June 2018,132,
July 2018,127,
August 2018,131,
September 2018,125,
October 2018,136,
November 2018,131,
December 2018,124,
January 2019,123,
February 2019,123,
March 2019,133,
April 2019,135,
May 2019,143,
June 2019,130,
July 2019,133,
August 2019,140,
September 2019,138,
October 2019,133,
November 2019,134,
December 2019,136,
January 2020,136,
February 2020,135,
March 2020,141,
April 2020,136,
May 2020,136,
June 2020,145,
July 2020,142,
August 2020,150,
September 2020,161,
October 2020,155,
November 2020,153,
December 2020,151,
January 2021,158,
February 2021,156,
March 2021,164,
April 2021,167,
May 2021,164,
June 2021,171,
July 2021,170,
August 2021,168,
September 2021,168,
October 2021,169,
November 2021,184,
December 2021,176,
January 2022,180,
February 2022,183,
March 2022,189,
April 2022,196,
May 2022,209,


"All data from Savannah Multi List Corporation. InfoSparks &copy; 2022 ShowingTime."


