date,closed-sales
17-Jan,265
17-Feb,320
17-Mar,453
17-Apr,422
17-May,534
17-Jun,517
17-Jul,450
17-Aug,463
17-Sep,365
17-Oct,380
17-Nov,377
17-Dec,405
18-Jan,280
18-Feb,297
18-Mar,442
18-Apr,484
18-May,511
18-Jun,573
18-Jul,482
18-Aug,507
18-Sep,416
18-Oct,385
18-Nov,367
18-Dec,344
19-Jan,313
19-Feb,337
19-Mar,461
19-Apr,492
19-May,544
19-Jun,524
19-Jul,500
19-Aug,494
19-Sep,377
19-Oct,406
19-Nov,407
19-Dec,428
20-Jan,337
20-Feb,344
20-Mar,465
20-Apr,417
20-May,388
20-Jun,488
20-Jul,586
20-Aug,608
20-Sep,576
20-Oct,559
20-Nov,440
20-Dec,535
21-Jan,412
21-Feb,462
21-Mar,615
21-Apr,665
21-May,625
21-Jun,677
21-Jul,656
21-Aug,626
21-Sep,583
21-Oct,564
21-Nov,545
21-Dec,589
22-Jan,421
22-Feb,448
22-Mar,550
22-Apr,542
22-May,549
