Month,Months of Inventory 2017,Months of Inventory 2018,Months of Inventory 2019,Months of Inventory 2020,Months of Inventory 2021,Months of Inventory 2022
Jan,8.07,6.99,6.36,5.53,3.03,1.66
Feb,6.85,6.93,6.00,5.56,2.58,1.63
Mar,4.90,4.80,4.48,4.14,1.94,1.31
Apr,5.22,4.49,4.29,4.52,1.71,1.35
May,4.15,4.32,3.90,4.90,1.80,1.48
Jun,4.30,3.68,3.91,3.86,1.65,
Jul,4.82,4.31,4.13,3.15,1.63,
Aug,4.64,4.03,4.11,2.78,1.70,
Sep,5.61,4.73,5.40,2.82,1.81,
Oct,5.45,5.31,4.97,2.76,1.76,
Nov,5.36,5.57,4.78,3.42,1.61,
Dec,4.75,5.67,4.23,2.45,1.18,
